feature_id,start_frame,used_num,score,stereo_error[3],track_error_per_frame[3],truth_error_per_frame[4]
1348,82,1,0.175508,0 0 0,,
1349,82,1,0.786697,0 0 0,,
1351,82,1,0.791308,0 0 0,,
1352,82,1,0.331545,0 0 0,,
1353,82,1,0.387076,0 0 0,,
1354,82,1,0.863246,0 0 0,,
1355,82,1,0.760735,0 0 0,,
1356,82,1,0.571874,0 0 0,,
1357,82,1,0.478975,0 0 0,,
1359,82,1,0.562149,0 0 0,,
1360,83,1,1.35383,0 0 0,,
1361,83,1,1.25694,0 0 0,,
1362,83,1,0.205009,0 0 0,,
1363,83,1,0.266478,0 0 0,,
1364,83,1,0.854617,0 0 0,,
1365,83,1,0.871958,0 0 0,,
1366,83,1,0.57987,0 0 0,,
1368,83,1,1.67642,0 0 0,,
1370,83,1,0.559105,0 0 0,,
1371,83,1,0.534448,0 0 0,,
1372,83,1,0.57495,0 0 0,,
1373,83,1,0.690027,0 0 0,,
1374,83,1,0.118619,0 0 0,,
1375,83,1,1.21934,0 0 0,,
1376,83,1,336442,0 0 0,,
1377,83,1,0.506978,0 0 0,,
1378,83,1,0.785322,0 0 0,,
1379,83,1,0.613634,0 0 0,,
1380,83,1,0.175108,0 0 0,,
